Timestamp,ErrorAngle
2025-06-27 18:09:41,144.84
2025-06-27 18:09:48,15.98
2025-06-27 18:10:01,107.79
2025-06-27 18:20:07,47.51
2025-06-27 18:20:13,2.37
2025-06-27 18:21:38,76.40
